source_key,word,accent,status
photo-051,temporary,tˈɛmpɜˌɛriː,ACTIVE
photo-052,revised,rɪvˈaɪzd,ACTIVE
photo-053,capable,kˈeɪpʌbʌl,ACTIVE
photo-054,detailed,dɪtˈeɪld,ACTIVE
photo-055,unavoidable,ˌʌnʌvˈɔɪdʌbʌl,ACTIVE
photo-056,improper,ˌɪmprˈɑpɜ,ACTIVE
photo-057,bulk,bˈʌlk,ACTIVE
photo-058,worth,wˈɜθ,ACTIVE
photo-059,independent,ˌɪndɪpˈɛndʌnt,ACTIVE
photo-060,related,rɪlˈeɪtɪd,ACTIVE
photo-061,advisable,ʌdvˈaɪzʌbʌl,ACTIVE
photo-062,accomplished,ʌkˈɑmplɪʃt,ACTIVE
photo-063,skilled,skˈɪld,ACTIVE
photo-064,responsive,rɪspˈɑnsɪv,ACTIVE
photo-065,significant,sʌɡnˈɪfɪkʌnt,ACTIVE
photo-066,advanced,ʌdvˈænst,ACTIVE
photo-067,narrow,nˈɛroʊ,ACTIVE
photo-068,cautious,kˈɔʃʌs,ACTIVE
photo-069,native,nˈeɪtɪv,ACTIVE
photo-070,economic,ˌɛkʌnˈɑmɪk,ACTIVE
photo-071,memorable,mˈɛmɜʌbʌl,ACTIVE
photo-072,preferred,prʌfˈɜd,ACTIVE
photo-073,established,ɪstˈæblɪʃt,ACTIVE
photo-074,unwavering,ʌnwˈeɪvɜɪŋ,ACTIVE
photo-075,contingent,kʌntˈɪndʒʌnt,ACTIVE
photo-076,exquisite,ˈɛkskwʌzʌt,ACTIVE
photo-077,impeccable,ˌɪmpˈɛkʌbʌl,ACTIVE
photo-078,proportional,prʌpˈɔrʃʌnʌl,ACTIVE
photo-079,subsequent,sˈʌbsʌkwʌnt,ACTIVE
photo-080,picturesque,pˈɪktʃɜʌsk,ACTIVE
photo-081,stringent,strˈɪndʒʌnt,ACTIVE
photo-082,exemplary,ɪɡzˈɛmplɜiː,ACTIVE
photo-083,anonymous,ʌnˈɑnʌmʌs,ACTIVE
photo-084,controversial,kˌɑntrʌvˈɜʃʌl,ACTIVE
photo-085,feasible,fˈiːzʌbʌl,ACTIVE
photo-086,predominant,prɪdˈɑmʌnʌnt,ACTIVE
photo-087,current,kˈɜʌnt,ACTIVE
photo-088,durable,dˈʊrʌbʌl,ACTIVE
photo-089,educational,ˌɛdʒʌkˈeɪʃʌnʌl,ACTIVE
photo-090,satisfied,sˈætʌsfˌaɪd,ACTIVE
photo-091,expire,ɪkspˈaɪr,ACTIVE
photo-092,depart,dɪpˈɑrt,ACTIVE
photo-093,appoint,ʌpˈɔɪnt,ACTIVE
photo-094,result,rɪzˈʌlt,ACTIVE
photo-095,equip,ɪkwˈɪp,ACTIVE
photo-096,remove,riːmˈuːv,ACTIVE
photo-097,target,tˈɑrɡʌt,ACTIVE
photo-098,appeal,ʌpˈiːl,ACTIVE
photo-099,subscribe,sʌbskrˈaɪb,ACTIVE
photo-100,adhere,ʌdhˈɪr,ACTIVE
photo-101,conserve,kʌnsˈɜv,ACTIVE
photo-102,eliminate,ɪlˈɪmʌnˌeɪt,ACTIVE
photo-103,cooperate,koʊˈɑpɜˌeɪt,ACTIVE
photo-104,encounter,ɪnkˈaʊntɜ,ACTIVE
photo-105,provide,prʌvˈaɪd,ACTIVE
photo-106,contribute,kʌntrˈɪbjuːt,ACTIVE
photo-107,resolve,riːzˈɑlv,ACTIVE
photo-108,utilize,jˈuːtʌlˌaɪz,ACTIVE
photo-109,prolong,prʌlˈɔŋ,ACTIVE
photo-110,anticipate,æntˈɪsʌpˌeɪt,ACTIVE
photo-111,combine,kˈɑmbaɪn,ACTIVE
photo-112,settle,sˈɛtʌl,ACTIVE
photo-113,attribute,ˈætrʌbjˌuːt,ACTIVE
photo-114,emphasize,ˈɛmfʌsˌaɪz,ACTIVE
photo-115,patronize,pˈeɪtrʌnˌaɪz,ACTIVE
photo-116,redeem,rɪdˈiːm,ACTIVE
photo-117,abolish,ʌbˈɑlɪʃ,ACTIVE
photo-118,dispose,dɪspˈoʊz,ACTIVE
photo-119,reschedule,riːskˈɛdʒuːl,ACTIVE
photo-120,separate,sˈɛpɜˌeɪt,ACTIVE
photo-121,exhibit,ɪɡzˈɪbɪt,ACTIVE
photo-122,compare,kʌmpˈɛr,ACTIVE
photo-123,remain,rɪmˈeɪn,ACTIVE
photo-124,allow,ʌlˈaʊ,ACTIVE
photo-125,announce,ʌnˈaʊns,ACTIVE
photo-126,oversee,ˈoʊvɜsˌiː,ACTIVE
photo-127,meet,mˈiːt,ACTIVE
photo-128,instruct,ˌɪnstrˈʌkt,ACTIVE
photo-129,broaden,brˈɔdʌn,ACTIVE
photo-130,book,bˈʊk,ACTIVE
photo-131,notify,nˈoʊtʌfˌaɪ,ACTIVE
photo-132,represent,rˌɛprɪzˈɛnt,ACTIVE
photo-133,advise,ædvˈaɪz,ACTIVE
photo-134,amend,ʌmˈɛnd,ACTIVE
photo-135,commence,kʌmˈɛns,ACTIVE
photo-136,conceive,kʌnsˈiːv,ACTIVE
photo-137,activate,ˈæktʌvˌeɪt,ACTIVE
photo-138,thrive,θrˈaɪv,ACTIVE
photo-139,assess,ʌsˈɛs,ACTIVE
photo-140,complement,kˈɑmplʌmʌnt,ACTIVE
photo-141,reflect,rɪflˈɛkt,ACTIVE
photo-142,offset,ɔfsˈɛt,ACTIVE

