source_key,display_order,sentence,sentence_meaning
photo-034,1,The library is closed for renovation.,도서관은 개조 공사로 문을 닫았다.
photo-035,1,They visited a historic building downtown.,그들은 도심의 역사적인 건물을 방문했다.
photo-036,1,The boxes are stored in a warehouse.,상자들은 창고에 보관되어 있다.
photo-037,1,Every resident can use the community center.,모든 거주자는 주민 센터를 이용할 수 있다.
photo-038,1,The project was successful.,그 프로젝트는 성공적이었다.
photo-039,1,The package arrived intact.,소포는 손상되지 않은 채 도착했다.
photo-040,1,She showed extraordinary patience.,그녀는 비범한 인내심을 보였다.
photo-041,1,He was generous with his time.,그는 자신의 시간을 관대하게 내주었다.
photo-042,1,The audience applauded at the end.,청중은 마지막에 박수를 쳤다.
photo-043,1,I finished the paperwork before noon.,나는 정오 전에 서류 업무를 끝냈다.
photo-044,1,That way is easier for everyone.,그 방법이 모두에게 더 쉽다.
photo-045,1,The photo is proof that she was there.,그 사진은 그녀가 그곳에 있었다는 증거다.
photo-046,1,The store sells various kinds of tea.,그 가게는 다양한 종류의 차를 판다.
photo-047,1,Please give me a prompt reply.,신속하게 답변해 주세요.
photo-048,1,Keep in mind that the deadline is Friday.,마감일이 금요일이라는 점을 명심하세요.
photo-049,1,The guide contains informative maps and charts.,그 안내서에는 유익한 지도와 도표가 들어 있다.
photo-050,1,We updated the existing policy.,우리는 기존 정책을 업데이트했다.
photo-051,1,The store will close temporarily.,그 가게는 일시적으로 문을 닫을 것이다.
photo-052,1,Please read the revised schedule.,수정된 일정을 읽어 주세요.
photo-053,1,She is capable of leading the project.,그녀는 그 프로젝트를 이끌 능력이 있다.
photo-054,1,Send me a detailed report by noon.,정오까지 상세한 보고서를 보내 주세요.
photo-055,1,Some delays are unavoidable.,일부 지연은 피할 수 없다.
photo-056,1,That comment was improper.,그 발언은 부적절했다.
photo-057,1,We ordered the supplies in bulk.,우리는 물품을 대량으로 주문했다.
photo-058,1,This book is worth reading.,이 책은 읽을 가치가 있다.
photo-059,1,The child is becoming more independent.,그 아이는 더 독립적으로 변하고 있다.
photo-060,1,Please attach all related documents.,관련된 모든 서류를 첨부해 주세요.
photo-061,1,It is advisable to arrive early.,일찍 도착하는 것이 바람직하다.
photo-062,1,She is an accomplished musician.,그녀는 뛰어난 음악가다.
photo-063,1,The skilled worker fixed the machine quickly.,숙련된 작업자가 기계를 빠르게 고쳤다.
photo-064,1,The support team was responsive.,지원 팀은 응답이 빨랐다.
photo-065,1,The change had a significant effect.,그 변화는 상당한 영향을 주었다.
photo-066,1,The lab uses advanced equipment.,그 연구실은 고급 장비를 사용한다.
photo-067,1,The road becomes narrow near the bridge.,다리 근처에서 길이 좁아진다.
photo-068,1,Be cautious when sharing personal information.,개인 정보를 공유할 때는 신중해야 한다.
photo-069,1,This plant is native to this region.,이 식물은 이 지역이 원산지다.
photo-070,1,The plan offers economic benefits.,그 계획은 경제적 이점을 제공한다.
photo-071,1,We had a memorable trip.,우리는 기억에 남는 여행을 했다.
photo-072,1,Online payment is the preferred method.,온라인 결제가 선호되는 방법이다.
photo-073,1,The company is well established.,그 회사는 잘 자리 잡았다.
photo-074,1,Her unwavering support encouraged us.,그녀의 흔들리지 않는 지지가 우리를 격려했다.
photo-075,1,The offer is contingent on approval.,그 제안은 승인 여부에 달려 있다.
photo-076,1,The museum displayed an exquisite painting.,박물관은 정교한 그림을 전시했다.
photo-077,1,Her timing was impeccable.,그녀의 타이밍은 흠잡을 데 없었다.
photo-078,1,The fee is proportional to the service level.,요금은 서비스 수준에 비례한다.
photo-079,1,Subsequent meetings were more productive.,이후 회의들은 더 생산적이었다.
photo-080,1,They stayed in a picturesque village.,그들은 그림 같은 마을에 머물렀다.
photo-081,1,The school has stringent safety rules.,그 학교에는 엄격한 안전 규정이 있다.
photo-082,1,She set an exemplary example for the team.,그녀는 팀에 모범적인 본보기를 보였다.
photo-083,1,The survey was anonymous.,그 설문조사는 익명이었다.
photo-084,1,The proposal remains controversial.,그 제안은 여전히 논란의 여지가 있다.
photo-085,1,The schedule is feasible.,그 일정은 실현 가능하다.
photo-086,1,Blue is the predominant color in the design.,파란색은 그 디자인에서 주된 색이다.
photo-087,1,Please check the current status.,현재 상태를 확인해 주세요.
photo-088,1,This bag is durable enough for travel.,이 가방은 여행에 충분히 내구성이 있다.
photo-089,1,The program provides educational activities.,그 프로그램은 교육 활동을 제공한다.
photo-090,1,The customer was satisfied with the service.,고객은 서비스에 만족했다.
photo-091,1,My membership will expire next month.,내 회원 자격은 다음 달에 만료된다.
photo-092,1,The train will depart at six.,기차는 6시에 출발한다.
photo-093,1,The board appointed a new director.,이사회는 새 이사를 임명했다.
photo-094,1,The result surprised everyone.,그 결과는 모두를 놀라게 했다.
photo-095,1,The lab is equipped with modern tools.,그 연구실은 현대적인 도구를 갖추고 있다.
photo-096,1,Please remove your name from the list.,목록에서 당신의 이름을 제거해 주세요.
photo-097,1,Our target is to reduce waste.,우리의 목표는 폐기물을 줄이는 것이다.
photo-098,1,The new design appeals to younger customers.,새 디자인은 젊은 고객에게 매력적으로 다가간다.
photo-099,1,You can subscribe to the weekly newsletter.,주간 뉴스레터를 구독할 수 있다.
photo-100,1,All employees must adhere to the safety rules.,모든 직원은 안전 규정을 지켜야 한다.
photo-101,1,We should conserve water during the summer.,여름에는 물을 절약해야 한다.
photo-102,1,The update eliminated several errors.,업데이트가 여러 오류를 없앴다.
photo-103,1,The two teams cooperated on the project.,두 팀은 그 프로젝트에서 협력했다.
photo-104,1,We encountered a problem during the test.,우리는 시험 중 문제를 맞닥뜨렸다.
photo-105,1,The library provides free internet access.,도서관은 무료 인터넷 접속을 제공한다.
photo-106,1,Many volunteers contributed to the event.,많은 자원봉사자가 행사에 기여했다.
photo-107,1,The engineer resolved the issue quickly.,기술자가 문제를 빠르게 해결했다.
photo-108,1,We can utilize this space for meetings.,우리는 이 공간을 회의에 활용할 수 있다.
photo-109,1,The rain prolonged the game.,비 때문에 경기가 길어졌다.
photo-110,1,We anticipate strong demand this year.,우리는 올해 강한 수요를 예상한다.
photo-111,1,The recipe combines sweet and sour flavors.,그 조리법은 단맛과 신맛을 결합한다.
photo-112,1,They settled the disagreement peacefully.,그들은 의견 차이를 평화롭게 해결했다.
photo-113,1,She attributed her success to hard work.,그녀는 성공을 노력 덕분이라고 여겼다.
photo-114,1,The teacher emphasized the main idea.,선생님은 핵심 생각을 강조했다.
photo-115,1,We patronize local stores whenever possible.,우리는 가능한 한 지역 상점을 애용한다.
photo-116,1,You can redeem the coupon online.,온라인으로 쿠폰을 교환할 수 있다.
photo-117,1,The city plans to abolish the old rule.,시는 오래된 규칙을 폐지할 계획이다.
photo-118,1,Please dispose of the bottle properly.,병을 올바르게 버려 주세요.
photo-119,1,We need to reschedule the meeting.,회의 일정을 다시 잡아야 한다.
photo-120,1,Keep the two files in separate folders.,두 파일을 별도의 폴더에 보관하세요.
photo-121,1,The museum will exhibit local artwork.,박물관은 지역 예술 작품을 전시할 것이다.
photo-122,1,Compare the prices before you buy.,구입하기 전에 가격을 비교하세요.
photo-123,1,Only a few seats remain.,좌석이 몇 개만 남아 있다.
photo-124,1,The teacher allowed us to leave early.,선생님은 우리가 일찍 떠나는 것을 허락했다.
photo-125,1,The company announced a new policy.,회사는 새 정책을 발표했다.
photo-126,1,She oversees the training program.,그녀는 교육 프로그램을 관리한다.
photo-127,1,This product meets our quality standards.,이 제품은 우리의 품질 기준을 충족한다.
photo-128,1,The guide instructed us to wait here.,안내자는 우리에게 여기서 기다리라고 지시했다.
photo-129,1,Travel can broaden your perspective.,여행은 당신의 관점을 넓힐 수 있다.
photo-130,1,We booked a room near the station.,우리는 역 근처 방을 예약했다.
photo-131,1,Please notify us if your address changes.,주소가 바뀌면 우리에게 알려 주세요.
photo-132,1,This symbol represents the company.,이 기호는 회사를 나타낸다.
photo-133,1,The lawyer advised her to wait.,변호사는 그녀에게 기다리라고 조언했다.
photo-134,1,The committee amended the proposal.,위원회는 제안을 수정했다.
photo-135,1,The ceremony will commence at noon.,행사는 정오에 시작된다.
photo-136,1,They conceived a simple solution.,그들은 간단한 해결책을 생각해 냈다.
photo-137,1,Activate your account to continue.,계속하려면 계정을 활성화하세요.
photo-138,1,Small businesses can thrive in this area.,소규모 사업은 이 지역에서 번영할 수 있다.
photo-139,1,The teacher assessed each student's work.,선생님은 각 학생의 과제를 평가했다.
photo-140,1,The blue curtains complement the room.,파란 커튼이 방과 잘 어울린다.
photo-141,1,The report reflects recent changes.,보고서는 최근 변화를 반영한다.
photo-142,1,The discount offsets the delivery fee.,할인이 배송비를 상쇄한다.
