source_key,display_order,mean_type,meaning
photo-102,1,verb,제거하다; 없애다
photo-103,1,verb,협력하다
photo-104,1,verb,맞닥뜨리다; 우연히 만나다
photo-105,1,verb,제공하다
photo-106,1,verb,기여하다
photo-107,1,verb,해결하다
photo-108,1,verb,활용하다; 이용하다
photo-109,1,verb,연장하다
photo-110,1,verb,예상하다; 기대하다
photo-111,1,verb,결합시키다
photo-112,1,verb,해결하다; 정착하다
photo-113,1,verb,~의 탓으로 돌리다; 원인으로 여기다
photo-114,1,verb,강조하다
photo-115,1,verb,애용하다; 후원하다
photo-116,1,verb,상환하다; 교환하다
photo-117,1,verb,폐지하다
photo-118,1,verb,처리하다; 버리다
photo-119,1,verb,일정을 다시 잡다
photo-120,1,verb,분리하다
photo-121,1,verb,전시하다
photo-122,1,verb,비교하다
photo-123,1,verb,남아 있다
photo-124,1,verb,허락하다
photo-125,1,verb,발표하다; 알리다
photo-126,1,verb,감독하다; 관리하다
photo-127,1,verb,충족시키다; 만나다
photo-128,1,verb,지시하다
photo-129,1,verb,넓히다; 확대하다
photo-130,1,verb,예약하다
photo-131,1,verb,알리다; 통지하다
photo-132,1,verb,대표하다; 나타내다
photo-133,1,verb,조언하다
photo-134,1,verb,수정하다; 개정하다
photo-135,1,verb,시작하다
photo-136,1,verb,생각해 내다; 상상하다
photo-137,1,verb,활성화하다
photo-138,1,verb,번영하다; 잘 자라다
photo-139,1,verb,평가하다
photo-140,1,verb,보완하다
photo-141,1,verb,반영하다
photo-142,1,verb,상쇄하다
